text,target
really ? me ?,0
4th pick2,0
the sloppy seconds of me taking his mid by force as the superior male,0
thx for game,0
REPORT LINA,0
you won the game,0
easy mid,0
party?,0
reported,0
aFK,0
im not your mate guy,0
his net is gone for a few minutes i think,0
that killed me once,0
they rank 200,0
hey,0
come to his rank ,0
wrong chat,0
when i saw you youre lvl 12,0
im only 9 ish,0
hows that displaying that your sf fed?,0
ty ,0
u sound like that,0
i am white,0
You are part of that peruvian team,0
my invis doesnt come off when i attack,0
cuz top was so ez,0
nagh hes flaming am for farming,0
without treads,0
congratz on win,0
could you guys plz end now],0
can we go for it ?,0
thinklin,0
its automatic system,0
it's all about safelane carry D:,0
you are boosting ? what exactly,0
or u are with them next game,0
and he willmake a carry maden with bf,0
Yall salty its 28-7 at 16 min ,0
that,0
throne,0
realyl puase ,0
a ti horow),0
worst players,0
just normal game all need learn,0
its balance game ?,0
imeant bot,0
he still stayed,0
sry 6500 player,0
forcestaff,0
can we end PLS BRO,0
it's my spirit animal,0
u r nearly devine,0
ty bottle,0
for saving world,0
REPORT MK FFS,0
COMEBACK,0
where are u creep,0
thats how much u will die,0
ruined my second game,0
just report them,0
won u the game,0
easy game ,0
who fed PL,0
commed my supp? ,0
that good,0
no bs you are nothing,0
bb fight with me 1vs1,0
wp everyone,0
have to hunt am at the beginning,0
report troolll,0
TINKER GO BM,0
OUR CM IS MORE FARMED THAN BB,0
pls come back ,0
show us ,0
comeback is real ,0
they cant ome back ,0
wow extension available for purchase ,0
fails of  the week,0
our 0-5 lina is bitching that im not hard supporting enough,0
:o,0
the comback,0
look lycion,0
report and ty pa,0
lol push bottom ,0
waited for brew?,0
you guys know lucas?,0
ggwp gl nex ttyea,0
merry xmas,0
i timed that well too ,0
and seeing you dance around,0
its pretty entertaining to have 0 help,0
Commend team,0
balacned hero i think,0
thank you,0
in my team,0
g next,0
void how you gonna take longer than an ogre magi to get a battlefury,0
come here,0
i'm top 200 brew dotabuff,0
ITS ME,0
THATS WHY YOU TRIED TO KS RIGHT?,0
to have some wards,0
its invisible?!/!,0
ty for feed,0
"ns ,s ybxt yt cltkfk",0
o it tickles me,0
for what?,0
ty for rapiers,0
ty x,0
up the secret shop,0
feed mid pls,0
thanks for waiting,0
my anus is itching,0
ITS THE BIG SHOWWWWWWWWWWWWWWWWW,0
WHAT THE ROCK,0
gl leveling with level 1 bolt,0
too late,0
REPORT TINKER,0
report sf ty,0
he only played dota this long so that in this one game he could dc,0
and laugh at how long we stay paused for him.,0
Report death pls,0
you are support though,0
eam,0
hes comeing back,0
lol chasin,0
report sf ty,0
how acn you be so lucky,0
and  lose me the game,0
rofl,0
sorry we don't speak dead languages,0
top eu players there,0
any words tree?,0
what is a meepo,0
anything else tbh,0
akhmed is it you?,0
how about we talk about this huskar,0
he's good right?,0
USE BLOODSTONE,0
I no longer like your build bh,0
it's ew,0
he is dead,0
well u would wait forever mate,0
if he actually killed himself,0
CANT LAST HIT ROFL,0
hes raging,0
ty for game,0
worth it,0
we lose this,0
HE WENT INSANE LIKE ME,0
IT HAPPENS WHEN YOU PLAY ON 2K FOR TOO LONG,0
you are being toxic now :thinking:,0
who are you talking to....,0
"yeah, no.  wasn't in your last game ",0
hey aa you do realzie we have a pa,0
you can only run for so long,0
storm stop feed plz,0
he cant take it,0
techies is a fine pick,0
is this -50?,0
for you,0
sniper best carry,0
"tell ya, he was upset there werent enough PV in this game",0
"its like a debased form of spanish, more so then mexican spanish",0
for the record,0
i woudl let him live,0
try,0
not even close bro,0
yeah but chaos is OP,0
4to ty budew,0
sorry but my team useing my shine alone,0
Faster as i can,0
for real?,0
this game :DDDDDDDDDD,0
f9 please,0
Pls f9,0
wait frn,0
please be nice,0
another one,0
bs player said?,0
two hearts sseemsgood,0
last 3 games not counted because of early abadons,0
u can't play vs superpudge,0
report team,0
numbers in your languea,0
this was a smoke,0
OSfrog,0
whats ur problem,0
well played sir deserved victory !,0
report zeus and necro,0
report zus and necro,0
He asked for a pause to recconect,0
just give me a reason,0
cat is on fire,0
wp tb,0
pa and cm,0
Treant afk,0
best team ever,0
"yes, i commend him ",0
please wait,0
rofl,0
dont be salty bro,0
rofl ,0
lol this guys are mad,0
he feed cour spam sentry in base,0
report in  lp,0
they cant even be 5k cuz they will live in 4k,0
ye when i win mid 2v1 :D,0
maybe coz u did not even try to play? ,0
not gonna waste my time ,0
use first,0
1st time i saw him doing that :O,0
and its real,0
this dk ratting in turbo game,0
hero all late haha,0
i told start game u all ez win,0
hey,0
ofc not,0
"I mean, you lost bot to a guy that's 1000 mmr higher or so",0
we'll finish quickly,0
Just for wanting to play mid,0
asec,0
who cares,0
comend tusk,0
top,0
Reported tini pls,0
what a trade luna,0
Nope,0
buirrit,0
rice eating shit lord,0
weaver can play with his hero,0
change wifi,0
U played like u are afraid and turtled 20 mins,0
carry only,0
then u fginish,0
report wk,0
COME SLARK,0
just helping thou,0
and report WR,0
report pudge,0
what a hook man,0
yeah right,0
you had such a strong mid game,0
all that farm and i kill 3 hit u,0
wp team forest,0
im gonna pick Skywrath he didnt say,0
can i supp with am next game guys?,0
"reprot shaker and bs please make mm a better place, gg wp",0
another cool game,0
youtube.com/mirocj01 -----> Divine crusher,0
youtube.com/mirocj01 -----> Divine crusher,0
youtube.com/baboy10 ----->the plays,0
youtube.com/mirocj01 -----> Divine crusher,0
ty for 25,0
because he is pro,0
rofl,0
thanks nerf morp,0
how to use ulti,0
hey can we end ,0
is that,0
dude u will lose eventaully...what are u laughing at,0
cannot kill tiny,0
The power of Teamwork,0
planted hahaha,0
he chrono any1 in his first sight,0
cm for the nimbus,0
WHAT ARE THEEEESE,0
this,0
that was the plan,0
you are not pro btw,0
what a player,0
report dark willow pls,0
"but it's ok,",0
reprot this wk,0
why ,0
why would u have healin ward ?,0
whats wrong with you,0
1>20 deaths,0
we were about to],0
coemback,0
this storm,0
worthÉ,0
rofl,0
pango thx for game,0
WHYS THAT,0
salve pra twitch,0
bm and riki are reported..for constant insulting and feeding,0
and then going afk,0
and finish ,0
why,0
this is a sad storm :),0
storm is ulting toward you,0
this is my 12 winning streak,0
rly usefull stat,0
at rosh,0
cheat??,0
why,0
he said so much lag,0
this is easy,0
watch yours then,0
shaman went to pray ?,0
watch me,0
hey,0
u know knight online ?,0
how many sucky sucky for dark artistry,0
well played,0
what are you doing there,0
reporrt lc and im fine,0
this team .,0
reproted ?,0
reproted ?,0
that why i was loser in early,0
3 misses in a row,0
"gg, first time pudge on my team",0
good torrent,0
what is this new 'guardian greaves' item???,0
please abandon slark,0
in 3 secs you are death,0
the entertainment yes,0
exactly!,0
of course,0
thanks,0
it nice when ww leaches exp mid,0
typical,0
What were you doing?,0
go to the hell jong hyun,0
haters,0
First blood,0
he said he was lagging,0
comeback top bb,0
where are u bb?,0
"i am playing quietly, minding my own business but y keep calling me",0
will try,0
you all blew your loads on my spikes,0
jst waste time,0
No you are strong people ,0
ty for acknowledging my skills,0
quick cast is hard,0
better than lycan though,0
DIRE HAS JUST 2 HEROES TINKER AND TIMBER,0
GUSTO KO SAMPALIN YUNG LIFE STEALER NA NAG RADIANCE 1ST ITEM,0
playing vs ti winner,0
END THE GMAE,0
END THE GAME ,0
your s key works,0
realy?,0
report ls botting,0
Report monkey,0
he could farm - he didn't ,0
GGWP ty ,0
venge u know ur sapping exp from uir  mid,0
Im a try hard yes,0
best carry,0
forty,0
exactly,0
cmon bruh,0
or are we in late?,0
i came a bit from that,0
he is truly a monkey,0
please,0
rofl,0
Was free farm,0
bane last pick,0
we have nothing to cancel banes ulti,0
hate my team,0
typical pa player,0
Im not even the worst,0
i have more farm than pa,0
merry xmas,0
How rude you are,0
luna won you the game,0
hello ???thailand ??,0
clock carry né,0
WHY YOU DONT USE IT?,0
IM TALKING ABOUT SPELLS,0
why thank you sir ,0
throw,0
throw,0
Rofl,0
anyway we r not losing,0
Just a buch of virgins who cant win at their own mmr,0
stop cryin?,0
gl in ur solo games shaman,0
what is ur brain?,0
whort >??,0
"Good Game,Well Played",0
realyy alone or with 3 ??,0
UNDYING TOO STRONK,0
Acaboui,0
q throw foi esse od,0
i tot all of u guys are carry?,0
Accout buyer,0
3 ancient at btm feed,0
LOL when did u see 4 bot? lol,0
dark willow pls dont use this hero,0
it's for you,0
scary,0
there are no scars,0
scary,0
bait of the year,0
she is just having good time with creeps,0
Is he playing with dial-up?,0
you have good team,0
my hc is weaver,0
weaver handless,0
finsih,0
nice hair cm,0
where is he?,0
rip english,0
merry xmas! :=),0
5k hrs this meepo lmao,0
to feed,0
rly?,0
you wouldnt win if we didnt have this meepo feeding,0
on fountain,0
wtf is this,0
but acts like herlad 1,0
sick insult,0
how much you charge a night?,0
report wk pls thnaks,0
treants hc,0
throne,0
:C,0
why yiu focus him ,0
cant talk now?,0
this zeus,0
no tt please :(,0
GO END NO TEAM WORK,0
ALL SOLO GAMING,0
a moy kupil bloodthorn?,0
creep block is too strong,0
report ember pls thanks,0
and i wasnt even moving /,0
pudge is real,0
he abandoned last game ,0
he dint want to play with tech,0
report bh all,0
i had this image of cm and mirana blowing sniper,0
has a small space,0
that shows cleavage,0
report trooll,0
these guys,0
i have nothing,0
"yeah, thats it",0
i play this hero for the first time,0
COMEND,0
easy,0
not really,0
alright youre just an idiot,0
not really,0
Phew,0
Worth,0
really?,0
ops sorry all chatr,0
might as well sell it,0
Rofl,0
top,0
Who thinks he is miracle,0
Ward?,0
A anceint acc,0
IM ONLY THE RAL MIRACLE,0
nothing more,0
so glad not losing ot anti fun,0
bathrooom,0
che nyx,0
And is confused as to why shes getting her ass kicked,0
this dumbass thinks that turbo means every hero turns into an sb or axe ,0
SO GOODp layer stacking armor auras,0
why my team like 2k players,0
He in game,0
have to do this again,0
bate mais forte fia,0
so typical,0
ty for ni bash,0
End it,0
give reason to pause,0
its new years day ,0
this void ,0
fake ancient,0
try to SS our base,0
is it wex,0
what ?,0
they will not coming back,0
no online steam,0
you cant touch this,0
good come back wp guys,0
it is like my signature hero,0
not a single one of them went above 12k networth,0
this hero is dead,0
that also plays a factor,0
report clingz please :),0
sorry mate,0
come with us pudge,0
dont ned bots,0
the alcohol u know,0
for champagne and sucking,0
cant believe how much lion is sucking juggs dick over a joke lol,0
that was good,0
gl further,0
and we have,0
please,0
cause it's gg ,0
NO my item  :D,0
chen's at your ancients,0
add me on snap stormselect12,0
Rampage please,0
HI AM :),0
i have one mexican ,0
creeps,0
Pudge good,0
try harder,0
kill the siege,0
cant kill wk?,0
yeah hes gone,0
why is he laning,0
is tinker seriously laning?,0
hey,0
hey,0
wheres sniper,0
he was honestly your best player,0
so just wait,0
we're not entirely sure,0
we are playing 15 minute game for 30 mins already,0
COMMEND,0
BROKE ITEMS,0
TECHIES <3,0
AM <3,0
techies,0
i want to lose cuz I am noob,0
reason?,0
ty the game,0
yeah sadly not my acc,0
the ks is real,0
its alright,0
that i can def,0
win game,0
are u wanna play with that lich..??,0
make it a sufferig for this shit LC,0
WE COO,0
come back,0
so it's not comeback :'(,0
sorry for him,0
commend carry ,0
ask support,0
another ez :),0
a sf),0
Why hate me(,0
that how you doit,0
would be embarriising otherwise,0
now pause for us thx,0
we dont care,0
lobby ?,0
ME ACHAMo,0
hes offline,0
This patch isn't 1v1,0
thats how u wana play ?,0
you unpaused to get the momentum to push,0
thats how u win,0
how many time?,0
rly mate?,0
why in my team?,0
what is your guys deal,0
whys everyone so angry,0
'i love france where is the surrender button',0
reported team,0
worts shakles,0
a che on,0
i'm about to beat his ass and yours,0
report him,0
and treant,0
fast hand meepo,0
scary meppo,0
who 1x1? [near Rosh],0
go finish?,0
WHY NOT?,0
cos i know you really wanna ride on me,0
why,0
WE LOSE,0
WD C,0
not sand king or witch doctor or sven,0
EZ INVOKER,0
THE AEGIS,0
free ward lol,0
how too day chung no choi dien tu,0
pauded plss,0
paused plss,0
CAN WE COMMEND PLS ? ,0
AFK BASE ,0
push top,0
SK 1 ulty for 46 min,0
why need to kill,0
comend shadow fiend,0
and?,0
somehow?,0
not both anyway,0
midlaner who is lowest lvl,0
on the team,0
not so match 32,0
idc about next game,0
i'm a dick for playing better now?,0
that what it comes down to,0
ofc ,0
fight,0
he tilted,0
he wasnt afk,0
ITS NOT OK,0
I can win you,0
he wont be back,0
you fought well,0
u would ahve won this with underlord,0
Report him,0
prollly not,0
he coming?,0
"thx legion, for staying",0
sorry guys,0
ur about to waste,0
atleast,0
SNIPER COME TO OUR TM,0
from radi,0
Ea,0
sorry ,0
you walked right by me lol,0
welcome to dota,0
im free hit,0
i give treat if you shut up,0
sssshhhh,0
no bone i want steak,0
that is how it is supposed to go,0
"IZI TU HE4R,MANA",0
score says 3,0
focus all on me =(,0
i buy courier,0
nice counter pick,0
they just lost their lane,0
JUMP INTO ASTRAL,0
it took my shaman 12 min to ward my lane,0
and nyx,0
TOP bounty RUNE,0
we not have 5 hero,0
I will block.,0
we win game if slark and zeuz stoped farm,0
report sniper please,0
please,0
ez storm baited lol,0
why ur team ded,0
becouse you all have no skill heros,0
cool,0
got your base,0
ward in the worlf,0
sleep is for the weak,0
RAGE PLAYER,0
hater,0
stop warding my jungle,0
is your first win?,0
prob win next two as well,0
Please,0
this monky is very angry,0
bf death,0
second try lucky,0
cm said shut up,0
cm what are you r point,0
these russians,0
rofl,0
onmi has two boots,0
its me pk,0
my name is also joshua,0
its more of a drow,0
storms way worse mann,0
for teammate,0
break ur items and run down mid for repentance,0
my lion is mexican,0
please,0
is hurtying my brain,0
he went bracer salve,0
we are outdrafted it seems,0
righht click,0
this was a fun game,0
solid preformance in mid,0
this is where the fun begins,0
youll see what i mean,0
roflk,0
hey puck,0
how much real mmr,0
our first pick,0
end it faster ty Xd,0
want carry mid and everything,0
why the creep did that,0
why,0
in my team,0
report clock,0
u got undying counterpick,0
i was 1st in queue,0
331 gpm then pick invo,0
thank ,0
how can he report?,0
GG wp commend me ,0
got it cm,0
space crated xD,0
goodluck have pandesal,0
pls no speaking hyeroglyphs :-),0
learn england,0
and RIP english ! ,0
dusa is still afk at top,0
U paly better than him,0
report troll ty,0
worth,0
at least u have a stun,0
which carry will win?,0
lost in 3 seconds,0
wont win wout my team,0
happy new year guys^_^,0
this one is in the bag,0
we already there,0
ty for game all,0
report clinks,0
cool,0
to connect,0
WE ARE ALL BROTHERS ON THIS AMAZING PLANET,0
"report my theam,",0
what happen sofa,0
and he picks,0
for this pa,0
why is pa good vs tinker fp?,0
would like to know also,0
low priority gank,0
ill feed.,0
axe 3 stouts shield,0
COEMND,0
what kind of logic u having here,0
follow me,0
Sf  ?,0
reported,0
who will report mk i ll commend him ty,0
don thehonor to die by creeps,0
Report monkey,0
easy,0
